Time	i	j	k
0.000000	9.708333	13.416667	17.125000
0.000000	-1.#IND00	-1.#IND00	-1.#IND00
1.000000	-1.#IND00	-1.#IND00	-1.#IND00
1.000000	-1.#IND00	-1.#IND00	-1.#IND00
2.000000	-1.#IND00	-1.#IND00	-1.#IND00
2.000000	-1.#IND00	-1.#IND00	-1.#IND00
3.000000	-1.#IND00	-1.#IND00	-1.#IND00
3.000000	-1.#IND00	-1.#IND00	-1.#IND00
4.000000	-1.#IND00	-1.#IND00	-1.#IND00
4.000000	-1.#IND00	-1.#IND00	-1.#IND00
5.000000	-1.#IND00	-1.#IND00	-1.#IND00
5.000000	-1.#IND00	-1.#IND00	-1.#IND00
6.000000	-1.#IND00	-1.#IND00	-1.#IND00
6.000000	-1.#IND00	-1.#IND00	-1.#IND00
7.000000	-1.#IND00	-1.#IND00	-1.#IND00
7.000000	-1.#IND00	-1.#IND00	-1.#IND00
8.000000	-1.#IND00	-1.#IND00	-1.#IND00
8.000000	-1.#IND00	-1.#IND00	-1.#IND00
9.000000	-1.#IND00	-1.#IND00	-1.#IND00
9.000000	-1.#IND00	-1.#IND00	-1.#IND00
